id,mol_name,formula,kegg_id,pubchem_sid
2027,Dacarbazine,C6H10N6O,C06936,9152
2028,Cyproheptadine,C21H21N,C06935,9151
2029,Cyclopentolate,C17H25NO3,C06932,9149
2030,Cyclobenzaprine,C20H21N,C06931,9148
2031,Cyclizine,C18H22N2,C06930,9147
2032,Demeclocycline hydrochloride,C21H22Cl2N2O8,C06942,9157
2033,Delavirdine,C22H28N6O3S,C06941,9156
2034,Hydroxyindole,C8H7NO,C02040,5131
2035,L-Thyronine,C15H15NO4,"",680124
2036,Hematoporphyrin IX,C34H38N4O6,"",309337
2037,Isohyodeoxycholic acid,C24H40O4,"",""
2038,Leucinic acid,C6H12O3,"",669697
2039,Cholesteryl palmitoleate,C43H74O2,"",3883344
2040,Cholestanol,C27H48O,"",365071
2041,"Cholestane-3,7,12,25-tetrol",C27H48O4,"",745214
2042,Cysteineglutathione disulfide,C13H22N4O8S2,"",3881679
2043,Amlexanox,C16H14N2O4,C13298,586042
2044,Dipalmitoylphosphatidic acid,C35H69O8P,"",841039
2045,Hydroxyacetic Porphyrin III,C39H38N4O15,"",""
2046,Glycylglycine,C4H8N2O3,C02037,5129
2047,Ropivacaine hydrochloride,C17H27ClN2O,C14004,854245
2048,Erythromycin stearate,C55H103NO15,C13961,854203
2049,Chloramphenicol sodium succinate,C15H15Cl2N2NaO8,C13962,854204
2050,Tacrolimus hydrate,C44H71NO13,C13956,854198
2051,Bufuralol,C16H23NO2,C13769,7846930
2052,Carbenicillin sodium,C17H16N2Na2O6S,C13967,854208
2053,Cefamandole sodium,C18H17N6NaO5S2,C13968,854209
2054,2-Naphthylamine,C10H9N,C02227,5292
2055,Mevastatin,C23H34O5,C13963,7846932
2056,Diethyl phenyl phosphate,C10H15O4P,C11732,13897
2057,SC-57666,C18H17FO2S,C11706,13871
2058,Magnesium stearate,C36H70MgO4,C13966,154479
2061,Aluminum lactate,C9H21AlO9,C12870,583259
2062,Propyl parahydroxybenzoate,C10H12O3,C12868,583257
2063,p-Aminohippurate sodium,C9H9N2NaO3,C12867,583256
2064,Butyl parahydroxybenzoate,C11H14O3,C12866,583255
2065,Benzyl nicotinate,C13H11NO2,C12865,583254
2066,Primaquine,C15H21N3O,C07627,9829
2067,Oligomycin D,C44H72O11,C11314,13489
2068,Tiopronin,C5H9NO3S,C12876,583265
2069,Fosfluconazole,C13H13F2N6O4P,C12875,583264
2070,D-Galactose 6-phosphate,C6H13O9P,C01113,4345
2071,Nicotinate D-ribonucleotide,C11H14NO9P,C01185,4411
2072,"L-Galactono-1,4-lactone",C6H10O6,C01115,4347
2073,O-Succinyl-L-homoserine,C8H13NO6,C01118,4349
2074,Oxidized dithiothreitol,C4H8O2S2,C01119,4350
2075,Sphinganine 1-phosphate,C18H40NO5P,C01120,4351
2076,Streptidine 6-phosphate,C8H21N6O7P+2,C01121,4352
2077,(-)-trans-Isopiperitenol,C10H16O,C01123,4354
2078,18-Hydroxycorticosterone,C21H30O5,C01124,4355
2079,"Dihydro-4,4-dimethyl-2,3-Furandione",C6H8O3,C01125,4356
2080,Palmitoylglycerone phosphate,C19H37O7P,C01192,4418
2081,1-Phospho-alpha-D-glucuronate,C6H11O10P,C01195,4420
2082,Voriconazole,C16H14F3N5O,C07622,9824
2083,Borrerine,C16H20N2,C09054,11246
2084,6-Acetylpicropolin,C24H28O9,C09055,11247
2085,Ammoresinol,C24H30O4,C09056,11248
2086,Acutilol A,C20H32O2,C09057,11249
2087,Ajugarin I,C24H34O7,C09058,11250
2088,Alectrol,C19H22O6,C09059,11251
2089,Capillin,C12H8O,C08398,10594
2090,Carlina oxide,C13H10O,C08399,10595
2091,Anacyclin,C18H25NO,C08396,10592
2092,"5-(3-Buten-1-ynyl)-2,2'-bithienyl",C12H8S2,C08397,10593
2093,"Tritriacontane-16,18-dione",C33H64O2,C08394,10590
2094,Aethusin,C13H14,C08395,10591
2095,Triacontan-1-ol,C30H62O,C08392,10588
2096,Tritriacontane,C33H68,C08393,10589
2097,Propane-1-thiol,C3H8S,C08390,10586
2098,Propane-2-thiol,C3H8S,C08391,10587
2099,Chymostatin,C31H41N7O6,C11308,13483
2100,omega-Carboxy-N-acetyl-LTE4,C25H37NO8S,C11629,13794
2101,Afloqualone,C16H14FN3O,C13098,585162
2102,Calcimycin,C29H37N3O6,C11309,13484
2103,Acetylleucyl-leucyl-norleucinal,C20H37N3O4,C11306,13481
2104,Glycyphyllin,C21H24O9,C09754,11942
2105,Glepidotin B,C20H20O5,C09753,11941
2106,Homoeriodictyol,C16H14O6,C09756,11944
2107,Hesperidin,C28H34O15,C09755,11943
2108,Zingiberene,C15H24,C09750,11938
2109,alpha-Ylangene,C15H24,C09749,11937
2110,Glabranin,C20H20O4,C09752,11940
2111,Garbanzol,C15H12O5,C09751,11939
2112,Oligomycin B,C45H72O12,C11312,13487
2113,Isochamaejasmin,C30H22O10,C09758,11946
2114,7-Hydroxyflavan,C15H14O2,C09757,11945
2115,Oligomycin C,C45H74O10,C11313,13488
2116,"5,10-Methylenetetrahydrofolate",C20H23N7O6,C00143,3443
2117,GMP,C10H14N5O8P,C00144,3444
2118,Phenol,C6H6O,C00146,3446
2119,Adenine,C5H5N5,C00147,3447
2120,Butanoyl-CoA,C25H42N7O17P3S,C00136,3436
2121,myo-Inositol,C6H12O6,C00137,3437
2122,N-Acetyl-D-glucosamine,C8H15NO6,C00140,3440
2123,3-Methyl-2-oxobutanoic acid,C5H8O3,C00141,3441
2124,Oligomycin A,C45H74O11,C11311,13486
2125,L-Proline,C5H9NO2,C00148,3448
2126,(S)-Malate,C4H6O5,C00149,3449
2127,Rhodexin A,C29H44O9,C08877,11070
2128,Sarmentoloside,C29H44O11,C08878,11071
2129,Scillaren A,C36H52O13,C08879,11072
2130,Scilliroside,C32H44O12,C08880,11073
2131,Lanceotoxin B,C32H44O11,C08873,11066
2132,Lokundjoside,C29H44O10,C08874,11067
2133,Musaroside,C30H44O10,C08875,11068
2134,Neriifolin,C30H46O8,C08876,11069
2135,k-Strophanthoside,C42H64O19,C08881,11074
2136,Thevetin A,C42H64O19,C08882,11075
2137,Hypaphorine,C14H18N2O2,C09213,11404
2138,Ibogaine,C20H26N2O,C09214,11405
2139,Pseudoconhydrine,C8H17NO,C10168,12354
2140,D-Mannuronate,C6H10O7,C02024,5119
2141,Ruspolinone,C14H19NO3,C10169,12355
2142,Piplartine,C17H19NO5,C10166,12352
2143,(+)-Prosopinine,C18H35NO3,C10167,12353
2144,4-Carboxy-4'-sulfoazobenzene,C13H10N2O5S,C06673,8898
2145,Picolinic acid,C6H5NO2,C10164,12350
2146,Pinidine,C9H17N,C10165,12351
2147,D-Erythrulose,C4H8O4,C02022,5117
2148,Nigrifactin,C12H17N,C10162,12348
2149,Nitramine,C10H19NO,C10163,12349
2150,Zexbrevin B,C19H24O7,C09607,11798
2151,2-Methylcrotanoyl-CoA,C26H42N7O17P3S,C03060,5960
2152,Pilocereine,C45H65N3O6,C09609,11800
2153,Phaeantharine,C39H40N2O6+2,C09608,11799
2154,(+)-Pronuciferine,C19H21NO3,C09611,11802
2155,Polycarpine,C21H23NO6,C09610,11801
2156,Pukateine,C18H17NO3,C09613,11804
2157,Psychotrine,C28H36N2O4,C09612,11803
2158,Pycnamine,C37H40N2O6,C09615,11806
2159,Butin,C15H12O5,C09614,11805
2160,2-Hydroxyglutaryl-CoA,C26H42N7O20P3S,C03058,5958
2161,Gibberellin A20,C19H24O5,C02035,5128
2162,N3'-Acetylgentamicin,C19H36N4O11,C03009,5916
2163,Bicalutamide,C18H14F4N2O4S,C08160,10360
2164,2-Hydroxymethylserine,C4H9NO4,C03059,5959
2165,Exemestane,C20H24O2,C08162,10362
2166,"2,6-Dihydroxypyridine",C5H5NO2,C03056,5956
2167,Sibutramine,C17H26ClN,C07247,9456
2168,2-Carboxybenzaldehyde,C8H6O3,C03057,5957
2169,Methapyrilene,C14H19N3S,C11114,13296
2170,5-Methyl-2-furaldehyde,C6H6O2,C11115,13297
2490,Hydroxypyruvate,C3H4O4,C00168,3468
2171,Isoprothiolane sulfoxide,C12H18O5S2,C11112,13294
2172,Nilutamide,C12H10F3N3O4,C08164,10364
2173,Imidacloprid,C9H10ClN5O2,C11110,13292
2174,Isoprothiolane,C12H18O4S2,C11111,13293
2175,"(-)-erythro-(2R,3R)-dihydroxybutylamide",C4H9NO3,C11108,13290
2176,HBA,C4H9NO2,C11109,13291
2177,Auraviketone,C21H16O8,C12417,582807
2178,Calophyllolide,C26H24O5,C09158,11350
2179,Gibberellin A19,C20H26O6,C02034,5127
2180,Methylparabanic acid,C4H4N2O3,C11116,13298
2181,5-N-Methyloxaluric acid,C4H6N2O4,C11117,13299
2182,gamma-Aminooxaloacetate,C4H5NO4,C03443,6267
2183,p-Chloromercuribenzoate,C7H5ClHgO2,C03444,6268
2184,"P1,P2-Bis(5'-adenosyl) triphosphate",C20H27N10O16P3,C04307,6965
2185,Phosphoenol-4-deoxy-3-tetrulosonate,C4H7O7P,C04309,6967
2186,Sodium thiosalicylate,C7H5NaO2S,C08171,10371
2187,"CDP-4-dehydro-3,6-dideoxy-D-glucose",C15H23N3O14P2,C04297,6956
2188,"D-myo-Inositol 1,2-cyclic phosphate",C6H11O8P,C04299,6958
2189,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,C04294,6954
2190,"Androst-5-ene-3beta,17beta-diol",C19H30O2,C04295,6955
2191,N-(5-Phospho-D-ribosyl)anthranilate,C12H16NO9P,C04302,6961
2192,N-Benzoyl-D-arginine-4-nitroanilide,C19H22N6O4,C04303,6962
2193,Estradiol-17alpha 3-D-glucuronoside,C24H32O8,C04300,6959
2194,N(alpha)-t-Butoxycarbonyl-L-leucine,C11H21NO4,C04301,6960
2195,Urdamycin A,C43H56O17,C12413,582803
2196,Levcromakalim,C16H18N2O3,C11697,13862
2197,Gentamicin C2,C20H41N5O7,C02033,5126
2198,Nelfinavir,C32H45N3O4S,C07257,9466
2199,Anandamide,C22H37NO2,C11695,13860
2200,Tetranactin,C44H72O12,C06764,8984
2201,Nojirimycin,C6H13NO5,C06763,8983
2202,"2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde",C7H8O4,C06760,8980
2203,p-Tolualdehyde,C8H8O,C06758,8979
2204,4-Hydroxy-2-oxohexanoic acid,C6H10O4,C06762,8982
2205,(4E)-2-Oxohexenoic acid,C6H8O3,C06761,8981
2206,Chloroacetic acid,C2H3ClO2,C06755,8976
2207,Chloroacetaldehyde,C2H3ClO,C06754,8975
2208,4-Methylbenzyl alcohol,C8H10O,C06757,8978
2209,p-Xylene,C8H10,C06756,8977
2210,Urdamycin F,C43H58O18,C12411,582801
2211,Farnesoyl-CoA,C36H58N7O17P3S,C02030,5124
2212,Urdamycinone F,C25H28O11,C12410,582800
2213,Oxypertine,C23H29N3O2,C12619,583009
2214,Quinupristin-dalfopristin,C87H117N13O19S2,C08034,10234
2215,3-Methylbut-2-enal,C5H8O,C07330,9538
2216,Methantheline,C21H26NO3+,C07849,10051
2217,Oxyphencyclimine,C20H28N2O3,C07851,10053
2218,Propiverine,C23H29NO3,C07852,10054
2219,Mupirocin calcium hydrate,C52H90CaO20,C13972,854213
2220,Methicillin sodium,C17H21N2NaO7S,C13973,854214
2221,S9947,C29H27N3O3,C13771,854017
2222,Clofilium,C21H37ClN+,C13772,854018
2223,Tiapamil,C26H37NO8S2,C13765,854013
2224,Emopamil,C23H30N2,C13766,854014
2225,H37,C15H14O5,C13767,854015
2226,"12-Nitro-9Z,12Z-octadecadienoic acid",C18H31NO4,C13958,854200
2227,CGP 28-392,C18H17F2NO5,C13761,586347
2228,202-791,C17H18N4O5,C13762,586348
2229,Devapamil,C26H36N2O3,C13763,854011
2230,Gallopamil,C28H40N2O5,C13764,854012
2231,Compound IV,C20H26N2O3,C06496,8727
2232,Compound III(S),C22H30N2O3,C06495,8726
2233,Tridihexethyl iodide,C21H36INO,C07862,10064
2234,WIN VI,C18H22N2O3,C06490,8721
2235,Compound VII,C18H21ClN2O3,C06489,8720
2236,XV638,C41H38N6O5S2,C06488,8719
2237,"(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin",C9H12N4O2,C06487,8718
2238,Compound V(S),C19H24N2O3,C06494,8725
2239,WIN54954,C18H20Cl2N2O3,C06493,8724
2240,Compound II(R/S),C21H27ClN2O3,C06492,8723
2241,Compound WIN VIII,C21H26Cl2N2O6,C06491,8722
2242,Nalbuphine,C21H27NO4,C07251,9460
2243,Naloxone,C19H21NO4,C07252,9461
2244,Letrozole,C17H11N5,C08163,10363
2245,Nafcillin,C21H22N2O5S,C07250,9459
2246,Nedocromil,C19H17NO7,C07255,9464
2247,Nefazodone,C25H32ClN5O2,C07256,9465
2248,Naltrexone,C20H23NO4,C07253,9462
2249,Nandrolone,C18H26O2,C07254,9463
2250,UH-301,C16H24FNO,C11698,13863
2251,Hydrocortisone cypionate,C29H42O6,C08176,10376
2252,Nogalonic acid methyl ester,C21H16O8,C12415,582805
2253,Neostigmine,C12H19N2O2+,C07258,9467
2254,124-1,C37H44O14,C12409,582799
2255,Imidazole,C3H4N2,C01589,4744
2256,Stemmadenine,C21H26N2O3,C11691,13856
2257,Epibatidine,C11H13ClN2,C11690,13855
2258,Trapidil,C10H15N5,C12620,583010
2259,trans-3-Hydroxycinnamate,C9H8O3,C12621,583011
2260,Fezatione,C17H14N2S2,C12618,583008
2261,"Hentriacontane-14,16-dione",C31H60O2,C08377,10573
2262,2-Hydroxy-6-ketononatrienedioate,C9H8O6,C12624,583014
2263,Biochanin A 7-O-(6-O-malonyl-beta-D-glucoside),C25H24O13,C12625,583015
2264,"cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol",C9H10O4,C12622,583012
2265,"trans-2,3-Dihydroxycinnamate",C9H8O4,C12623,583013
2266,Diallyl sulfide,C6H10S,C08370,10566
2267,Kaempferol 3-O-beta-D-galactoside,C21H20O11,C12626,583016
2268,Apigenin 7-O-neohesperidoside,C27H30O14,C12627,583017
2269,Imperialine,C27H43NO3,C10808,12991
2270,Dimethyl disulfide,C2H6S2,C08371,10567
2271,Germine,C27H43NO8,C10807,12990
2272,Galactose,C6H12O6,C01582,4738
2273,Irehine,C23H39NO,C10810,12993
2274,GDPhexose,C16H25N5O16P2,C01581,4737
2275,5-Pentadecylresorcinol,C21H36O2,C10809,12992
2276,3-(2-Aminoethyl)-1H-indol-5-ol,C10H12N2O,C00780,4041
2277,Arsonoacetate,C2H5AsO5,C06550,8779
2278,Tropinone,C8H13NO,C00783,4042
2279,Jervine,C27H39NO3,C10811,12994
2280,"1,2,3-Trichlorobenzene",C6H3Cl3,C14408,149899
2281,"2,3-Dioxo-L-gulonate",C6H8O7,C04575,7176
2282,2-Hydroxydibenzofuran,C12H8O2,C14409,208673
2283,"di-trans,poly-cis-Undecaprenyl diphosphate",C55H92O7P2,C04574,7175
2284,Pepstatin,C34H63N5O9,C00773,4035
2285,"15-Oxo-5,8,11-cis-13-trans-eicosatetraenoate",C20H30O3,C04577,7178
2286,Phloretin,C15H14O5,C00774,4036
2287,"1,2,3,4,6-Pentakis-O-galloyl-beta-D-glucose",C41H32O26,C04576,7177
2288,L-Idonate,C6H12O7,C00770,4032
2289,"D-myo-Inositol 1,2,4,5,6-pentakisphosphate",C6H17O21P5,C04563,7166
2290,Mevaldate,C6H10O4,C00772,4034
2291,"Benzyl (2S,3S)-2-methyl-3-hydroxybutanoate",C12H16O3,C04562,7165
2292,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate,C17H25N3O18P2,C04573,7174
2293,Glycopeptide,C36H64N8O17,C00528,3811
2294,Glutaryl-CoA,C26H42N7O19P3S,C00527,3810
2295,Deoxyuridine,C9H12N2O5,C00526,3809
2296,D-Tryptophan,C11H12N2O2,C00525,3808
2297,Cytochrome C,C42H52FeN8O6S2,C00524,3807
2298,S-(N-Hydroxy-N-methylcarbamoyl)glutathione,C12H20N4O8S,C04572,7173
2299,(R)-Pantoate,C6H12O4,C00522,3805
2300,(-)-Limonene,C10H16,C00521,3804
2301,Hypotaurine,C2H7NO2S,C00519,3802
2302,Hexadecanal,C16H32O,C00517,3800
2303,Eburicoic acid,C31H50O3,C14495,215652
2304,Gibberellin A14 aldehyde,C20H28O4,C11853,14015
2305,Zinc gluconate,C12H22O14Zn,C11852,14014
2306,N-Methyl-L-alanine,C4H9NO2,C02721,5683
2307,Cyclo(L-Phe-L-Pro),C14H16N2O2,C11847,14009
2308,Cyclo(deltaAla-L-Val),C8H12N2O2,C11846,14008
2309,N-(3-Hydroxy-7-cis-tetradecenoyl)homoserine lactone,C18H31NO4,C11845,14007
2310,N-Heptanoylhomoserine lactone,C11H19NO3,C11844,14006
2311,Zn-Bacterio-chlorophyll a,C55H74N4O6Zn,C11851,14013
2312,Divinylchlorophyll a,C55H70MgN4O5,C11850,14012
2313,3-Hydroxy-palmitic acid methyl ester,C17H34O3,C11849,14011
2314,2-Heptyl-3-hydroxy-quinolone,C16H21NO2,C11848,14010
2315,Urocanate,C6H6N2O2,C00785,4043
2316,Vestitone,C16H14O5,C00786,4044
2317,Belladine,C19H25NO3,C08518,10711
2318,Fludrocortisone acetate,C23H31FO6,C08186,10386
2319,3-Oxohexulose 6-phosphate,C6H13O9P,C06019,8291
2320,Dimethisterone,C23H32O2,C07628,9830
2321,17alpha-Dihydroequilenin,C18H20O2,C14498,165712
2322,D-Arabinonate,C5H10O6,C00878,4134
2323,Crotonoyl-CoA,C25H40N7O17P3S,C00877,4133
2324,2-Oxooctadecanoic acid,C18H34O3,C00869,4126
2325,Pantothenate,C9H17NO5,C00864,4121
2326,Methanofuran,C34H44N4O15,C00862,4119
2327,L-Rhamnulose,C6H12O5,C00861,4118
2328,Coenzyme F420,C29H36N5O18P,C00876,4132
2329,Angiotensin I,C63H91N17O13,C00873,4130
2330,Aminomalonate,C3H5NO4,C00872,4129
2331,4-Nitrophenol,C6H5NO3,C00870,4127
2332,(1)-3-Hydroxybutyric acid,C4H8O3,"",152509
2333,N-(3-Amino-4-chlorophenyl)acetamide,C8H9ClN2O,"",681431
2334,Trimethylacetyl phosphate,C5H11O5P,"",657017
2335,2-Acetamidopropionic acid,C5H9NO3,"",150408
2336,(1)-(3-Amino-3-carboxypropyl)dimethylsulphonium iodide,C6H14INO2S,"",3886671
2337,2-Morpholinoethylamine,C6H14N2O,"",203809
2338,"1,3,4-THIADIAZOLE, 2-AMINO-5-ETHYL-",C4H7N3S,"",169177
2339,(Aminophenylmethyl)phosphonic acid,C7H10NO3P,"",675736
2340,(S)-2-Amino-4-(methylseleno)butanoic acid,C5H11NO2Se,"",682499
2341,5-Acetamido-2-nitrobenzoic acid,C9H8N2O5,"",655125
2342,8-Oxocoformycin,C11H14N4O5,C02243,5306
2343,Anthranilyl-CoA,C28H41N8O17P3S,C02247,5310
2344,Angiotensin II,C57H80N16O12,C02135,5214
2345,Benzoylagmatine,C12H18N4O,C02253,5316
2346,Cycloeucalenol,C30H50O,C02141,5220
2347,D-threo-Aldose,C4H8O4,C02143,5222
2348,Chlorophyllide,C35H34MgN4O5,C02139,5218
2349,Corticosterone,C21H30O4,C02140,5219
2350,D-Glucose oxime,C6H13NO6,C02264,5325
2351,D-Phenylalanine,C9H11NO2,C02265,5326
2352,Dihydrolipoate,C8H16O2S2,C02147,5225
2353,Formylpyruvate,C4H4O4,C02150,5227
2354,N-Hydroxyarylamine,C6H7NO,C02720,5682
2355,L-Normetanephrine,C9H13NO3,C05589,7914
2356,Tabernanthine,C20H26N2O,C09274,11465
2357,Luvangetin,C15H14O4,C09273,11464
2358,Herniarin,C10H8O3,C09268,11459
2359,Heliettin,C19H22O4,C09267,11458
2360,Fraxin,C16H18O10,C09266,11457
2361,Fraxetin,C10H8O5,C09265,11456
2362,Libanorin,C19H20O5,C09272,11463
2363,Leptodactylone,C11H10O5,C09271,11462
2364,Isosamidin,C21H22O7,C09270,11461
2365,Imperatorin,C16H14O4,C09269,11460
2366,Calyculin A,C50H81N4O15P,C05370,7744
2367,2-Dehydro-3-deoxy-L-rhamnonate,C6H10O5,C03979,6696
2368,Tautomycin,C41H66O13,C05372,7746
2369,Microcystin-LR,C49H74N10O12,C05371,7745
2370,"2-Hydroxy-2-hydropyrone-4,6-dicarboxylate",C7H6O6,C05375,7749
2371,N-Acetyl-D-glucosamine 4-sulfate,C8H15NO9S,C05374,7748
2372,Menadione,C11H8O2,C05377,7751
2373,Biochanin A-beta-D-glucoside,C22H22O10,C05376,7750
2374,Oxalosuccinate,C6H6O7,C05379,7753
2375,"beta-D-Fructose 1,6-bisphosphate",C6H14O12P2,C05378,7752
2376,Lacinilene C 7-methyl ether,C16H20O3,C09695,11885
2377,Lactaroviolin,C15H14O,C09696,11886
2378,3-Hydroxy-4-methylanthranilate,C8H9NO3,C03986,6702
2379,"3,7-Dimethylocta-1,6-dien-3-ol",C10H18O,C03985,6701
2380,Emodin 8-glucoside,C21H20O10,C10345,12531
2381,Urocortisol,C21H34O5,C05472,7832
2382,Emodin,C15H10O5,C10343,12529
2383,Embelin,C17H26O4,C10342,12528
2384,Frangulin B,C20H18O9,C10349,12535
2385,Macrophylline,C13H21NO3,C10348,12534
2386,Lycopsamine,C15H25NO5,C10347,12533
2387,Frangulin A,C21H20O9,C10346,12532
2388,Sesartemin,C23H26O8,C10884,13067
2389,Sesamolinol,C20H20O7,C10883,13066
2390,Geranylbenzoquinone,C16H20O2,C10351,12537
2391,Monocrotaline,C16H23NO6,C10350,12536
2392,"11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al",C21H30O5,C05473,7833
2393,"3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al",C21H32O5,C05474,7834
2394,N-Methylphenylethanolamine,C9H13NO,C03711,6479
2395,N-Benzyloxycarbonylglycine,C10H11NO4,C03710,6478
2396,Androsterone,C19H30O2,C00523,3806
2397,Bis(2-ethylhexyl)phthalate,C24H38O4,C03690,6464
2398,7-O-Methylsterigmatocystin,C19H14O6,C03686,6461
2399,"D-Mannose 1,6-bisphosphate",C6H14O12P2,C03693,6467
2400,CMP-N-glycoloylneuraminate,C20H31N4O17P,C03691,6465
2401,Dithioerythritol disulfide,C8H18O4S4,C03698,6470
2402,D-Pantetheine 4'-phosphate,C11H23N2O7PS,C03694,6468
2403,N-Adenylyl-L-phenylalanine,C19H23N6O8P,C03709,6477
2404,L-5-Carboxymethylhydantoin,C5H6N2O4,C03703,6473
2405,Memantine,C12H21N,C13736,586325
2406,Selfotel,C7H14NO5P,C13735,586324
2407,Auriculine,C31H45NO8,C10280,12466
2408,4-Prenyldihydropinosylvin,C19H22O2,C10281,12467
2409,O-7-Angelylheliotridine,C13H19NO3,C10278,12464
2410,Angularine,C18H25NO6,C10279,12465
2411,Pinosylvin methyl ether,C15H14O2,C10276,12462
2412,Anacrotine,C18H25NO6,C10277,12463
2413,Phyllodulcin,C16H14O5,C10274,12460
2414,Piceid,C20H22O8,C10275,12461
2415,Orchinol,C16H16O3,C10272,12458
2416,Oxyresveratrol,C14H12O4,C10273,12459
2417,LY382884,C18H23NO4,C13730,586319
2418,11-Methoxy-vinorine,C22H24N2O3,C12073,14225
2419,Tetraphyllicine,C20H24N2O,C12075,14226
2420,Pulvomycin,C47H66O13,C12070,14223
2421,Iodoquinol,C9H5I2NO,C07636,9838
2422,GE2270A,C56H55N15O10S6,C12068,14221
2423,3-Hydroxypropenoate,C3H4O3,C12069,14222
2424,Valnemulin,C31H52N2O5S,C12066,14219
2425,2-Deoxy-2-dimethylamino-alpha-D-Glucose,C8H17NO5,C12067,14220
2426,Pinacidil,C13H21N5O,C13729,586318
2427,Triethylenemelamine,C9H12N6,C07642,9844
2428,Thiotepa,C6H12N3PS,C07641,9843
2429,Pheophytins,C56H76N4O6,C05797,8092
2430,Bacterio-pheophytins,C56H78N4O6,C05798,8093
2431,L-Urobilinogen,C33H48N4O6,C05789,8084
2432,I-Urobilinogen,C33H44N4O6,C05790,8085
2433,(3Z)-Phycocyanobilin,C33H38N4O6,C05786,8081
2434,Bilirubin beta-diglucuronide,C45H52N4O18,C05787,8082
2435,I-Urobilin,C33H42N4O6,C05794,8089
2436,D-Urobilin,C33H40N4O6,C05795,8090
2437,D-Urobilinogen,C33H42N4O6,C05791,8086
2438,L-Urobilin,C33H46N4O6,C05793,8088
2439,Dyclonine,C18H27NO2,C07881,10083
2440,Ursodiol,C24H40O4,C07880,10082
2441,Clomiphene,C26H28ClNO,C06917,9134
2442,Clofibrate,C12H15ClO3,C06916,9133
2443,Clemastine,C21H26ClNO,C06913,9130
2444,Difenoxin,C28H28N2O2,C07871,10073
2445,Clofazimine,C27H22Cl2N4,C06915,9132
2446,Clindamycin,C18H33ClN2O5S,C06914,9131
2447,Chlorthalidone,C14H11ClN2O4S,C06908,9125
2448,Chlorpropamide,C10H13ClN2O3S,C06907,9124
2449,Cisapride,C23H29ClFN3O4,C06910,9127
2450,Cidofovir,C8H14N3O6P,C06909,196891
2451,Soyasaponin II,C47H76O17,C12081,14232
2452,Esatenolol,C14H22N2O3,C12918,583307
2453,Phenylpropanol,C9H12O,C12917,583306
2454,Flumetasone pivalate,C27H36F2O6,C12911,583300
2455,Bolandiol dipropionate,C24H36O4,C12908,583297
2456,Nemonapride,C21H26ClN3O2,C12915,583304
2457,Ethenzamide,C9H11NO2,C12913,583302
2458,Isopropyl unoprostone,C25H44O5,C12899,583288
2459,Carpipramine maleate,C32H42N4O5,C12896,583285
2460,Variotin,C17H25NO3,C12905,583294
2461,Tetragastrin,C37H42N6O8S,C12903,583292
2462,Sorbitol 6-phosphate,C6H15O9P,C01096,4331
2463,D-Tagatose 6-phosphate,C6H13O9P,C01097,4332
2464,Dihydrofolate,C19H21N7O6,C00415,3705
2465,cis-Aconitate,C6H6O6,C00417,3707
2466,Methanethiol,CH4S,C00409,3699
2467,Progesterone,C21H30O2,C00410,3700
2468,16alpha-Hydroxysteroid,C19H32O2,C01090,4325
2469,Deacetylvindoline,C23H30N2O5,C01091,4326
2470,L-Aspartyl-L-phenylalanine,C13H16N2O5,"",670029
2471,Glycoursodeoxycholic acid,C26H43NO5,"",670344
2472,L-Cysteinylglycine disulfide,C8H15N3O5S2,"",750000
2473,Hydroxyoctanoic acid,C8H16O3,"",265828
2474,(R)-Mevalonate,C6H12O4,C00418,3708
2475,trans-Cinnamate,C9H8O2,C00423,3713
2476,L-Fuculose 1-phosphate,C6H13O8P,C01099,4333
2477,L-Histidinol phosphate,C6H12N3O4P,C01100,4334
2478,Aspidofractine,C22H26N2O3,C09040,11232
2479,Aspidospermatine,C21H26N2O2,C09041,11233
2480,Aspidoalbine,C24H32N2O5,C09038,11230
2481,Aspidodasycarpine,C21H26N2O4,C09039,11231
2482,(-)-Apparicine,C18H20N2,C09036,11228
2483,Aricine,C22H26N2O4,C09037,11229
2484,Apodine,C21H22N2O4,C09034,11226
2485,Apovincamine,C21H24N2O2,C09035,11227
2486,Aspidospermine,C22H30N2O2,C09042,11234
2487,Auricularine,C33H42N4,C09043,11235
2488,D-Xylose,C5H10O5,C00181,3481
2491,Carbamoyl phosphate,CH4NO5P,C00169,3469
2492,Phenylpyruvate,C9H8O3,C00166,3466
2493,UDPglucuronate,C15H22N2O18P2,C00167,3467
2494,Agmatine,C5H14N4,C00179,3479
2495,Benzoate,C7H6O2,C00180,3480
2496,5'-Methylthioadenosine,C11H15N5O3S,C00170,3470
2497,Thymine,C5H6N2O2,C00178,3478
2498,"trans-Cyclohexane-1,2-diol",C6H12O2,C03739,6502
2499,(S)-4-Amino-5-oxopentanoate,C5H9NO3,C03741,6504
2500,11alpha-Hydroxyprogesterone,C21H30O3,C03747,6508
